,X [mm],Y [mm],Z [mm],U [mm],V [mm],W [mm],exx [1] - Lagrange,eyy [1] - Lagrange,exy [1] - Lagrange,Force,Line
78,-10.6229,5.90119,0.0366801,0.0863056,-1.60646,0.341218,0.00225381,-0.00794834,-0.0109647,92,2
79,-10.1299,5.89782,0.037113,0.088079,-1.61644,0.344024,0.0028568,-0.00859197,-0.0101717,92,2
80,-9.63687,5.89463,0.0377173,0.0899968,-1.62598,0.347071,0.00345222,-0.00922448,-0.00934788,92,2
81,-9.14407,5.89172,0.038934,0.0921197,-1.63442,0.349887,0.00398942,-0.00978978,-0.00840852,92,2
82,-8.65146,5.88878,0.0398465,0.0944393,-1.64254,0.35237,0.0045007,-0.0103264,-0.00743683,92,2
83,-8.15933,5.88577,0.0400278,0.0972269,-1.64991,0.354058,0.00494983,-0.010794,-0.00638816,92,2
84,-7.66736,5.88254,0.0403471,0.100322,-1.65638,0.354984,0.00534244,-0.0111974,-0.00529378,92,2
85,-7.17555,5.87914,0.0407762,0.10368,-1.66208,0.355263,0.00568689,-0.011546,-0.00416044,92,2
86,-6.68416,5.87592,0.0407415,0.107408,-1.66536,0.355313,0.00593122,-0.0117881,-0.00298222,92,2
87,-6.19289,5.87275,0.040605,0.111237,-1.66791,0.35531,0.00614374,-0.0119966,-0.00179076,92,2
88,-5.70174,5.86976,0.0413923,0.115072,-1.66835,0.355623,0.00621094,-0.0120624,-0.000574657,92,2
89,-5.21068,5.86684,0.0422482,0.118804,-1.66816,0.355945,0.00623555,-0.0120862,0.000639172,92,2
90,-4.71985,5.86417,0.0432808,0.12226,-1.66629,0.356295,0.00614714,-0.0119985,0.00184652,92,2
91,-4.22927,5.86114,0.0441595,0.125845,-1.66347,0.355803,0.00598483,-0.0118333,0.00304083,92,2
92,-3.73891,5.85775,0.0448907,0.129548,-1.65976,0.354531,0.00575384,-0.0115961,0.00422303,92,2
